Re,Experiment,,Calculated Martin,,Percent Error
2.118483221,1.305745762,,1.8847,,0.443369963
3.326991534,1.492796591,,2.1923,,0.468556781
3.327328981,1.443660694,,2.1923,,0.518591669
3.949276267,1.443660694,,2.3220,,0.608438798
4.613149024,1.650468128,,2.4464,,0.482244849
5.143096265,1.824793181,,2.5375,,0.390545205
5.185521729,1.585493767,,2.5445,,0.604847539
6.104448383,1.824793181,,2.6880,,0.473070678
6.755099295,1.812619087,,2.7813,,0.53442916
7.186072325,2.114315824,,2.8399,,0.34319247
7.948381135,2.441588782,,2.9382,,0.203397879
8.336019841,1.824793181,,2.9858,,0.636256149
8.869294211,2.017530723,,3.0491,,0.511278331
8.977534442,1.741261293,,3.0616,,0.758253642
9.40057476,2.18627789,,3.1096,,0.42233775
9.960244374,2.654674493,,3.1711,,0.194527501
10.52416147,2.215743907,,3.2308,,0.458102595
10.5686583,1.990700639,,3.2354,,0.62525879
14.19340002,2.867100607,,3.5762,,0.247326868
14.5929166,2.433430632,,3.6102,,0.483577579
14.59957831,2.093192691,,3.6107,,0.724993843
15.39942898,3.096524983,,3.6770,,0.187457325
15.40161571,2.954778191,,3.6772,,0.24448236
15.65707755,2.215743907,,3.6979,,0.668902827
17.17892834,2.800709606,,3.8169,,0.362824332
17.19915114,1.899574156,,3.8184,,1.010140311
17.32134021,2.401069713,,3.8277,,0.59414917
22.56287007,2.800709606,,4.1910,,0.496401622
26.54992586,3.709935008,,4.4330,,0.194908338
26.55746662,3.378056388,,4.4335,,0.312431554
26.56500951,3.07586654,,4.4339,,0.441513573
26.5757888,2.690453423,,4.4345,,0.648244734
26.78903474,2.51625397,,4.4468,,0.767232173
29.38276563,3.563885139,,4.5915,,0.288352592
29.51178651,3.034962203,,4.5985,,0.515185328
31.28274781,3.180555587,,4.6926,,0.475410451
31.80549577,2.291158141,,4.7198,,1.059993518
33.32653848,2.306546246,,4.7972,,1.079834925
48.37966405,3.378056388,,5.4692,,0.619051473
48.73918667,3.836204973,,5.4836,,0.429445176
49.10138099,4.356489919,,5.4981,,0.262044943
50.65016814,4.504765786,,5.5591,,0.234058111
53.931931,3.861970077,,5.6850,,0.47204581
54.80980399,3.201917153,,5.7179,,0.785774212
57.38324469,4.241391009,,5.8126,,0.370454184
62.98893616,4.627011915,,6.0108,,0.29907459
63.8637862,8.339220573,,6.0408,,0.275610711
63.95712584,5.150082969,,6.0440,,0.173579129
68.61551122,4.816629273,,6.1999,,0.287186108
89.40250264,5.150082969,,6.8322,,0.326612119
89.4297089,4.658088315,,6.8329,,0.466896636
89.45510888,4.241391009,,6.8337,,0.611182351
99.28843269,5.637156375,,7.1047,,0.260341035
99.70317444,5.150082969,,7.1159,,0.381696952
99.73351532,4.658088315,,7.1167,,0.527808319
116.4254713,6.553447783,,7.5455,,0.151385838
116.4467278,6.170295156,,7.5461,,0.222967803
116.4656257,5.848562496,,7.5465,,0.290323789
116.4939784,5.397143051,,7.5472,,0.398376851
116.731703,9.957805155,,7.5531,,0.241488409
117.4215884,5.150082969,,7.5701,,0.469901297
154.0531269,7.392607563,,8.4115,,0.137827981
154.0687521,7.149277421,,8.4119,,0.176601819
154.1093849,6.553447783,,8.4127,,0.283710435
159.0800764,5.397143051,,8.5192,,0.578456658
171.8950129,6.190981257,,8.7867,,0.419278364
173.1847069,6.867830164,,8.8131,,0.2832506
181.6842712,4.658088315,,8.9851,,0.928931797
191.6477213,6.77649849,,9.1823,,0.355023782
208.72458,7.542563128,,9.5104,,0.260892533
213.421173,10.89957291,,9.5986,,0.119360716
218.6488066,8.283585527,,9.6959,,0.170491557
263.6682466,7.542563128,,10.4985,,0.391899185
278.2517898,9.470226594,,10.7471,,0.134825616
287.1392287,8.623051176,,10.8962,,0.263615024
287.1974791,8.064732349,,10.8972,,0.351215229
368.314697,9.470226594,,12.1930,,0.287505223
417.1404533,9.924532858,,12.9289,,0.302720549
460.9002201,16.28679051,,13.5675,,0.166962059
460.9843695,15.33457013,,13.5687,,0.115154467
461.2649783,12.54465122,,13.5728,,0.081956366
465.0133602,11.34624308,,13.6267,,0.200984288
483.6968695,9.792551696,,13.8936,,0.418790724
619.9996828,13.59389143,,15.7692,,0.16001953
630.1044626,11.19535534,,15.9040,,0.420592432
634.272101,16.61716039,,15.9595,,0.039576368
776.6085808,16.95423167,,17.8096,,0.050448733
783.6345153,11.34624308,,17.8989,,0.577515183
789.5219766,12.54465122,,17.9736,,0.432768976
853.2009913,13.96278977,,18.7745,,0.344608581
