Reynolds Number,Experiment,,Zukauskas Model,,Percent Error
84.15740878,5.981157901,,4.67E+00,,2.79E-01
98.25167029,6.904100682,,5.05E+00,,3.67E-01
136.662367,7.496783711,,5.96E+00,,2.58E-01
161.1284269,8.392084159,,6.47E+00,,2.97E-01
188.194654,8.744752295,,6.99E+00,,2.51E-01
256.6307762,10.41124401,,8.16E+00,,2.75E-01
374.5811107,12.39656881,,9.86E+00,,2.57E-01
454.6435057,14.31028711,,1.09E+01,,3.17E-01
676.4187282,18.30503803,,1.33E+01,,3.81E-01
861.5641794,22.93528154,,1.50E+01,,5.33E-01
1087.152039,26.47743627,,2.27E+01,,1.67E-01
1087.668536,23.65850774,,2.27E+01,,4.25E-02
1649.201352,33.869651,,2.91E+01,,1.63E-01
1665.949531,30.88995123,,2.93E+01,,5.39E-02
2600.853311,43.77386883,,3.83E+01,,1.43E-01
2784.728173,40.75189158,,3.99E+01,,2.15E-02
4608.232381,58.3481921,,5.40E+01,,8.11E-02
4933.385612,56.01360107,,5.62E+01,,3.73E-03
5225.000112,68.74155197,,5.82E+01,,1.81E-01
6346.714661,66.00345734,,6.54E+01,,9.27E-03
6658.318962,76.95984594,,6.73E+01,,1.43E-01
8161.765427,85.27851437,,7.61E+01,,1.21E-01
9083.115285,83.56406398,,8.11E+01,,3.05E-02
9906.676475,97.44107382,,8.54E+01,,1.41E-01
11025.00253,95.48210575,,9.11E+01,,4.83E-02
12026.71067,106.872712,,9.60E+01,,1.14E-01
16398.75256,129.870579,,1.16E+02,,1.24E-01
16875.00568,146.8461381,,1.18E+02,,2.49E-01
24627.75389,180.2995527,,1.48E+02,,2.22E-01
26888.58984,164.4565433,,1.56E+02,,5.75E-02
32003.54747,195.7576568,,1.73E+02,,1.34E-01
37750.92785,195.8055618,,1.91E+02,,2.72E-02
51947.80196,271.8019936,,2.31E+02,,1.77E-01
55096.91219,237.9648035,,2.39E+02,,5.04E-03
68818.34859,307.4446323,,2.73E+02,,1.25E-01
78838.45447,313.8652692,,2.97E+02,,5.85E-02
95701.6618,351.3636772,,3.33E+02,,5.48E-02
121922.8916,418.2810796,,3.85E+02,,8.59E-02
179658.5989,524.1980781,,4.86E+02,,7.84E-02
240286.5437,617.7227825,,7.12E+02,,1.32E-01
318294.413,713.176016,,9.01E+02,,2.09E-01
,,,,,
,,,,,1.57E-01
