Re,Exp,,GG,,Err,,Zuka,,Err Zuka
1.617977803,1.226501723,,1.10E+00,,1.04E-01,,1.06E+00,,1.37E-01
2.15516914,1.332319894,,1.21E+00,,9.11E-02,,1.19E+00,,1.09E-01
2.871466757,1.528214907,,1.33E+00,,1.27E-01,,1.33E+00,,1.29E-01
3.565950456,1.513208811,,1.44E+00,,5.10E-02,,1.45E+00,,4.06E-02
3.914947023,1.685700447,,1.48E+00,,1.21E-01,,1.51E+00,,1.06E-01
4.363007862,1.697080259,,1.54E+00,,9.37E-02,,1.57E+00,,7.27E-02
4.824691975,1.695431774,,1.59E+00,,6.11E-02,,1.64E+00,,3.37E-02
5.336826124,1.802479495,,1.65E+00,,8.59E-02,,1.71E+00,,5.36E-02
5.33702561,1.816547852,,1.65E+00,,9.30E-02,,1.71E+00,,6.10E-02
6.087745044,1.84267156,,1.72E+00,,6.45E-02,,1.80E+00,,2.42E-02
6.94510087,1.928213249,,1.80E+00,,6.46E-02,,1.90E+00,,1.71E-02
7.624812041,2.148011504,,1.86E+00,,1.33E-01,,1.97E+00,,8.41E-02
8.302180767,2.146245869,,1.92E+00,,1.06E-01,,2.04E+00,,5.16E-02
9.181386033,2.177762064,,1.99E+00,,8.77E-02,,2.12E+00,,2.69E-02
9.84831133,2.407758131,,2.04E+00,,1.54E-01,,2.18E+00,,9.48E-02
11.95136154,2.459975188,,2.18E+00,,1.14E-01,,2.35E+00,,4.27E-02
11.94510907,2.206274721,,2.18E+00,,1.27E-02,,2.35E+00,,6.72E-02
14.16808011,2.418039802,,2.31E+00,,4.32E-02,,2.52E+00,,4.25E-02
15.5535354,2.652112645,,2.39E+00,,9.82E-02,,2.62E+00,,1.34E-02
17.87713287,2.628034489,,2.51E+00,,4.34E-02,,2.77E+00,,5.27E-02
19.32031784,2.772949528,,2.59E+00,,6.77E-02,,2.85E+00,,2.91E-02
21.03747161,2.792295291,,2.67E+00,,4.52E-02,,2.95E+00,,5.74E-02
20.09141149,3.042970561,,2.62E+00,,1.38E-01,,2.90E+00,,4.74E-02
18.02609448,2.952883014,,2.52E+00,,1.46E-01,,2.78E+00,,6.00E-02
24.9590505,3.231474768,,2.84E+00,,1.22E-01,,3.16E+00,,2.16E-02
41.95234012,3.874911196,,3.45E+00,,1.10E-01,,3.89E+00,,4.28E-03
44.99298217,4.152963791,,3.55E+00,,1.46E-01,,4.00E+00,,3.64E-02
55.45662231,4.308877029,,3.85E+00,,1.07E-01,,4.35E+00,,9.79E-03
58.10920583,4.583332664,,3.92E+00,,1.44E-01,,4.43E+00,,3.28E-02
65.7844122,4.833898042,,4.12E+00,,1.47E-01,,4.66E+00,,3.62E-02
74.47616241,5.137952698,,4.34E+00,,1.55E-01,,4.90E+00,,4.71E-02
81.10455879,5.295890662,,4.50E+00,,1.51E-01,,5.07E+00,,4.35E-02
76.85164986,5.638691754,,4.40E+00,,2.20E-01,,4.96E+00,,1.21E-01
88.30967957,5.291537513,,4.66E+00,,1.19E-01,,5.24E+00,,9.54E-03
86.98939714,5.764855428,,4.63E+00,,1.96E-01,,5.21E+00,,9.63E-02
95.43874234,5.583323398,,4.82E+00,,1.36E-01,,5.41E+00,,3.17E-02
98.46812765,5.939843421,,4.89E+00,,1.77E-01,,5.47E+00,,7.84E-02
108.040487,5.842952824,,5.09E+00,,1.29E-01,,5.24E+00,,1.03E-01
111.4948749,6.512888631,,5.16E+00,,2.07E-01,,5.33E+00,,1.82E-01
138.496899,6.809632123,,5.69E+00,,1.64E-01,,5.94E+00,,1.28E-01
176.157372,7.814377153,,6.38E+00,,1.83E-01,,6.69E+00,,1.43E-01
208.8541656,7.862426821,,6.94E+00,,1.17E-01,,7.29E+00,,7.29E-02
229.2259918,8.230497325,,7.27E+00,,1.16E-01,,7.64E+00,,7.21E-02
227.5612876,9.036009163,,7.25E+00,,1.98E-01,,7.61E+00,,1.58E-01
269.7891428,9.02116032,,7.92E+00,,1.22E-01,,8.28E+00,,8.16E-02
310.1402604,9.221626636,,8.53E+00,,7.47E-02,,8.88E+00,,3.67E-02
320.0324766,10.12035593,,8.68E+00,,1.42E-01,,9.02E+00,,1.08E-01
379.61853,11.26555684,,9.55E+00,,1.52E-01,,9.83E+00,,1.28E-01
423.0021514,10.99432582,,1.02E+01,,7.58E-02,,1.04E+01,,5.64E-02
505.6194097,12.04869452,,1.13E+01,,6.29E-02,,1.13E+01,,5.87E-02
517.667221,12.91906795,,1.15E+01,,1.14E-01,,1.15E+01,,1.12E-01
599.6473544,12.90073102,,1.25E+01,,2.87E-02,,1.24E+01,,4.26E-02
663.447838,14.37021925,,1.33E+01,,7.10E-02,,1.30E+01,,9.59E-02
739.4891768,14.92421213,,1.43E+01,,4.15E-02,,1.37E+01,,8.09E-02
824.3076442,15.7424547,,1.53E+01,,2.51E-02,,1.45E+01,,8.01E-02
904.8128209,16.86830494,,1.63E+01,,3.27E-02,,1.52E+01,,1.01E-01
,,,,,,,,,
,,,,,1.10E-01,,,,6.90E-02
